Date,Open
Apr 23 2020,182.62
Apr 22 2020,172.67
Apr 21 2020,172.02
Apr 20 2020,181.48
Apr 19 2020,186.86
Apr 18 2020,171.62
Apr 17 2020,172.28
Apr 16 2020,153.20
Apr 15 2020,157.57
Apr 14 2020,156.36
Apr 13 2020,160.72
Apr 12 2020,158.23
Apr 11 2020,158.54
Apr 10 2020,170.83
Apr 09 2020,172.76
Apr 08 2020,165.24
Apr 07 2020,169.15
Apr 06 2020,143.61
Apr 05 2020,145.26
Apr 04 2020,142.22
Apr 03 2020,142.11
Apr 02 2020,135.73
Apr 01 2020,133.61
Mar 31 2020,132.82
Mar 30 2020,125.58
Mar 29 2020,131.02
Mar 28 2020,134.03
Mar 27 2020,138.37
Mar 26 2020,136.19
Mar 25 2020,138.91
Mar 24 2020,135.19
Mar 23 2020,123.37
Mar 22 2020,132.85
Mar 21 2020,133.10
Mar 20 2020,136.65
Mar 19 2020,114.84
Mar 18 2020,113.86
Mar 17 2020,110.41
Mar 16 2020,125.00
Mar 15 2020,123.25
Mar 14 2020,133.58
Mar 13 2020,112.69
Mar 12 2020,194.74
Mar 11 2020,200.77
Mar 10 2020,202.86
Mar 09 2020,201.32
Mar 08 2020,237.78
Mar 07 2020,243.75
Mar 06 2020,229.17
Mar 05 2020,224.64
Mar 04 2020,224.57
Mar 03 2020,230.52
Mar 02 2020,218.71
Mar 01 2020,219.75
Feb 29 2020,226.83
Feb 28 2020,226.99
Feb 27 2020,225.69
Feb 26 2020,247.74
Feb 25 2020,265.28
Feb 24 2020,273.71
Feb 23 2020,262.28
Feb 22 2020,265.55
Feb 21 2020,257.89
Feb 20 2020,259.82
Feb 19 2020,282.04
Feb 18 2020,266.51
Feb 17 2020,259.89
Feb 16 2020,264.90
Feb 15 2020,284.56
Feb 14 2020,268.02
Feb 13 2020,265.05
Feb 12 2020,235.90
Feb 11 2020,223.38
Feb 10 2020,228.55
Feb 09 2020,222.98
Feb 08 2020,222.51
Feb 07 2020,212.32
Feb 06 2020,204.13
Feb 05 2020,189.30
Feb 04 2020,189.86
Feb 03 2020,188.61
Feb 02 2020,183.53
Feb 01 2020,180.11
Jan 31 2020,184.74
Jan 30 2020,174.92
Jan 29 2020,176.35
Jan 28 2020,170.88
Jan 27 2020,168.01
Jan 26 2020,161.18
Jan 25 2020,163.07
Jan 24 2020,162.90
Jan 23 2020,168.30
Jan 22 2020,169.61
Jan 21 2020,167.06
Jan 20 2020,166.90
Jan 19 2020,175.47
Jan 18 2020,170.75
Jan 17 2020,164.49
Jan 16 2020,166.33
Jan 15 2020,165.73
Jan 14 2020,144.25
Jan 13 2020,146.22
Jan 12 2020,143.03
Jan 11 2020,143.41
Jan 10 2020,138.97
Jan 09 2020,141.16
Jan 08 2020,143.49
Jan 07 2020,144.31
Jan 06 2020,136.31
Jan 05 2020,135.07
Jan 04 2020,134.17
Jan 03 2020,127.41
Jan 02 2020,130.82
Jan 01 2020,129.63
Dec 31 2019,132.61
